Gene name in Model,Gene ID,Reaction,Reaction Name,Reaction Formula,GPR in model,Pathway
208656,DVU3137,rxn05341,(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]NADP+ oxidoreductase,cpd11483[c] + cpd00006[c]  <=> cpd00005[c] + cpd00067[c] + cpd11490[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05360,4-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd11496[c] + cpd00067[c]  <=> cpd11497[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05340,(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]NADP+ oxidoreductase,cpd11480[c] + cpd00006[c]  <=> cpd00005[c] + cpd00067[c] + cpd11489[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05414,6-methyl-3-oxo-heptanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11550[c]  <=> cpd11551[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05461,3-Hydroxyoctodecanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11570[c]  <=> cpd11571[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05405,15-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase,cpd11541[c] + cpd00005[c] + cpd00067[c]  <=> cpd11542[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05368,8-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd11504[c] + cpd00067[c]  <=> cpd11505[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05410,4-methyl-3-oxo-pentanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11546[c]  <=> cpd11547[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05418,8-methyl-3-oxo-nonanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11554[c]  <=> cpd11555[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05342,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]NADP+,cpd11484[c] + cpd00006[c]  <=> cpd00005[c] + cpd00067[c] + cpd11491[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05376,12-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11512[c]  <=> cpd11513[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05393,9-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11529[c]  <=> cpd11530[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05389,7-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11525[c]  <=> cpd11526[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05337,(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]NADP+ oxidoreductase,cpd11479[c] + cpd00006[c]  <=> cpd00005[c] + cpd11486[c] + cpd00067[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05380,14-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd11516[c] + cpd00067[c]  <=> cpd11517[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05336,(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]NADP+ oxidoreductase,cpd11481[c] + cpd00006[c]  <=> cpd00005[c] + cpd11485[c] + cpd00067[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05385,5-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11521[c]  <=> cpd00006[c] + cpd11522[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05339,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]NADP+ oxidoreductase,cpd11478[c] + cpd00006[c]  <=> cpd00005[c] + cpd11488[c] + cpd00067[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn079873,oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),cpd00005[c] + cpd00067[c] + cpd15373[c]  -> cpd00006[c] + cpd15366[c] ,( 206645 ) or ( 208656 ),
208656,DVU3137,rxn07989,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),cpd00005[c] + cpd00067[c] + cpd15374[c]  -> cpd00006[c] + cpd15368[c] ,( 208656 ) or ( 208058 ) or ( 208656 ),
208656,DVU3137,rxn07991,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),cpd00005[c] + cpd00067[c] + cpd15375[c]  -> cpd00006[c] + cpd15369[c] ,( 208656 ) or ( 208058 ) or ( 208656 ),
208656,DVU3137,rxn07993,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1),cpd00005[c] + cpd00067[c] + cpd15376[c]  -> cpd00006[c] + cpd15370[c] ,( 208656 ) or ( 208058 ) or ( 208656 ),
208058,DVU2561,rxn05401,13-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd11537[c] + cpd00067[c]  <=> cpd11538[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05338,(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]NADP+ oxidoreductase,cpd11482[c] + cpd00006[c]  <=> cpd00005[c] + cpd00067[c] + cpd11487[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05422,10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11558[c]  <=> cpd00006[c] + cpd11559[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05397,11-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11533[c]  <=> cpd11534[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05426,12-methyl-3-oxo-tridecanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11562[c]  <=> cpd11563[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05364,6-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11500[c]  <=> cpd11501[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05372,10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11508[c]  <=> cpd11509[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05430,14-methyl-3-oxo-pentadecanoyl-ACPNADP+ oxidoreductase,cpd11566[c] + cpd00005[c] + cpd00067[c]  <=> cpd00006[c] + cpd11567[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05341,(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]NADP+ oxidoreductase,cpd11483[c] + cpd00006[c]  <=> cpd00005[c] + cpd00067[c] + cpd11490[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05360,4-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd11496[c] + cpd00067[c]  <=> cpd11497[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05340,(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]NADP+ oxidoreductase,cpd11480[c] + cpd00006[c]  <=> cpd00005[c] + cpd00067[c] + cpd11489[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05414,6-methyl-3-oxo-heptanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11550[c]  <=> cpd11551[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05461,3-Hydroxyoctodecanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11570[c]  <=> cpd11571[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05405,15-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase,cpd11541[c] + cpd00005[c] + cpd00067[c]  <=> cpd11542[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05368,8-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd11504[c] + cpd00067[c]  <=> cpd11505[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05410,4-methyl-3-oxo-pentanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11546[c]  <=> cpd11547[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05418,8-methyl-3-oxo-nonanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11554[c]  <=> cpd11555[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05342,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]NADP+,cpd11484[c] + cpd00006[c]  <=> cpd00005[c] + cpd00067[c] + cpd11491[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05376,12-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11512[c]  <=> cpd11513[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05393,9-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11529[c]  <=> cpd11530[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05389,7-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11525[c]  <=> cpd11526[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05337,(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]NADP+ oxidoreductase,cpd11479[c] + cpd00006[c]  <=> cpd00005[c] + cpd11486[c] + cpd00067[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05380,14-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd11516[c] + cpd00067[c]  <=> cpd11517[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05336,(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]NADP+ oxidoreductase,cpd11481[c] + cpd00006[c]  <=> cpd00005[c] + cpd11485[c] + cpd00067[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05385,5-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11521[c]  <=> cpd00006[c] + cpd11522[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn05339,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]NADP+ oxidoreductase,cpd11478[c] + cpd00006[c]  <=> cpd00005[c] + cpd11488[c] + cpd00067[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208058,DVU2561,rxn07989,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),cpd00005[c] + cpd00067[c] + cpd15374[c]  -> cpd00006[c] + cpd15368[c] ,( 208656 ) or ( 208058 ) or ( 208656 ),
208058,DVU2561,rxn07991,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),cpd00005[c] + cpd00067[c] + cpd15375[c]  -> cpd00006[c] + cpd15369[c] ,( 208656 ) or ( 208058 ) or ( 208656 ),
208058,DVU2561,rxn07993,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1),cpd00005[c] + cpd00067[c] + cpd15376[c]  -> cpd00006[c] + cpd15370[c] ,( 208656 ) or ( 208058 ) or ( 208656 ),
206625,DVU1186,rxn02518,2-Deoxyinosine-5-triphosphate pyrophosphohydrolase,cpd00001[c] + cpd00977[c]  -> cpd03704[c] + cpd00012[c] ,206625,
206625,DVU1186,rxn00463,Uridine triphosphate pyrophosphohydrolase,cpd00001[c] + cpd00062[c]  -> cpd00091[c] + cpd00012[c] ,206625,
206625,DVU1186,rxn01519,dUTP nucleotidohydrolase,cpd00358[c] + cpd00001[c]  -> cpd00299[c] + cpd00012[c] ,(( 207836 ) or ( 206625 )),rRNA methylation in clusters
206625,DVU1186,rxn01351,2-Deoxyguanosine 5-triphosphate pyrophosphohydrolase,cpd00001[c] + cpd00241[c]  -> cpd00296[c] + cpd00012[c] ,206625,
206625,DVU1186,rxn01962,XTP pyrophosphohydrolase,cpd00530[c] + cpd00001[c]  -> cpd00497[c] + cpd00012[c] ,206625,
206625,DVU1186,rxn00301,Guanosine 5-triphosphate pyrophosphohydrolase,cpd00001[c] + cpd00038[c]  -> cpd00126[c] + cpd00012[c] ,206625,
206625,DVU1186,rxn00514,Inosine 5-triphosphate pyrophosphohydrolase,cpd00001[c] + cpd00068[c]  -> cpd00012[c] + cpd00114[c] ,206625,
207785,DVU2298,rxn05193,Butyro-betaine ABC transport,cpd00001[c] + cpd00002[c] + cpd08306[e]  -> cpd00009[c] + cpd00067[c] + cpd00008[c] + cpd08306[c] ,207785,Transporters 
207785,DVU2298,rxn05504,arsenobetaine transport in via ABC system,cpd11597[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd11597[c] + cpd00067[c] + cpd00008[c] ,207785,Transporters 
207785,DVU2298,rxn05181,Betaine-ABC transport,cpd00540[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd00540[c] + cpd00067[c] + cpd00008[c] ,( 207784 and 207785 and 207786 ),Transporters 
207785,DVU2298,rxn05192,Crotono-betaine ABC transport,cpd08305[e] + cpd00001[c] + cpd00002[c]  -> cpd00009[c] + cpd08305[c] + cpd00067[c] + cpd00008[c] ,207785,Transporters 
207147,DVU1688,rxn10215,anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,cpd15672[c] + cpd11434[c]  -> cpd00010[c] + cpd15678[c] ,207147,
207147,DVU1688,rxn08083,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C120),cpd11468[c] + cpd15325[c]  -> cpd11493[c] + cpd15521[c] ,207147,
207147,DVU1688,rxn08088,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C180),cpd15268[c] + cpd15329[c]  -> cpd15526[c] + cpd11493[c] ,207147,
207147,DVU1688,rxn10214,isoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,cpd11432[c] + cpd15671[c]  -> cpd15677[c] + cpd00010[c] ,207147,
207147,DVU1688,rxn10217,isopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,cpd11437[c] + cpd15674[c]  -> cpd00010[c] + cpd15680[c] ,207147,
207147,DVU1688,rxn08085,1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C141),cpd15330[c] + cpd15294[c]  -> cpd15523[c] + cpd11493[c] ,207147,
207147,DVU1688,rxn10216,isotetradecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,cpd11435[c] + cpd15673[c]  -> cpd15679[c] + cpd00010[c] ,207147,
207147,DVU1688,rxn10219,isohexadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,cpd11441[c] + cpd15676[c]  -> cpd00010[c] + cpd15682[c] ,207147,
207147,DVU1688,rxn10211,palmitoyl-1-acylglycerol-3-phosphate O-acyltransferase,cpd00134[c] + cpd15327[c]  -> cpd15524[c] + cpd00010[c] ,207147,
207147,DVU1688,rxn08084,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C140),cpd11466[c] + cpd15331[c]  -> cpd11493[c] + cpd15522[c] ,207147,
207147,DVU1688,rxn10218,anteisopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,cpd15675[c] + cpd11439[c]  -> cpd15681[c] + cpd00010[c] ,207147,
207147,DVU1688,rxn08087,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C161),cpd15326[c] + cpd15239[c]  -> cpd11493[c] + cpd15525[c] ,207147,
207147,DVU1688,rxn10213,stearoyl-1-acylglycerol-3-phosphate O-acyltransferase,cpd00327[c] + cpd15329[c]  -> cpd15526[c] + cpd00010[c] ,207147,
207147,DVU1688,rxn08089,1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C181),cpd11825[c] + cpd15328[c]  -> cpd15527[c] + cpd11493[c] ,207147,
207147,DVU1688,rxn10212,myristoyl-1-acylglycerol-3-phosphate O-acyltransferase,cpd15331[c] + cpd01695[c]  -> cpd00010[c] + cpd15522[c] ,207147,
207147,DVU1688,rxn08086,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C160),cpd15277[c] + cpd15327[c]  -> cpd15524[c] + cpd11493[c] ,207147,
209045,DVU0115,rxn01740,ShikimateNADP+ 5-oxidoreductase,cpd00006[c] + cpd00383[c]  <=> cpd01716[c] + cpd00005[c] + cpd00067[c] ,209045,Chorismate Synthesis
209045,DVU0115,rxn04661,L-quinate:NADP+ 3-oxidoreductase,cpd00006[c] + cpd00248[c]  <=> cpd00005[c] + cpd00067[c] + cpd00699[c] ,209045,
208027,DVU2530,rxn00785,D-Fructose 6-phosphateD-glyceraldehyde-3-phosphate glycolaldehyde,cpd00072[c] + cpd00102[c]  <=> cpd00198[c] + cpd00236[c] ,208027,Calvin-Benson cycle
208027,DVU2530,rxn01200,Sedoheptulose-7-phosphateD-glyceraldehyde-3-phosphate,cpd00238[c] + cpd00102[c]  <=> cpd00198[c] + cpd00101[c] ,208027,Calvin-Benson cycle
408311,DVU1208,rxn08548,glycerol-3-phosphate acyltransferase (C141),cpd15294[c] + cpd00080[c]  -> cpd15330[c] + cpd11493[c] ,( 408311 and 208730 ),
408311,DVU1208,rxn08546,glycerol-3-phosphate acyltransferase (C120),cpd11468[c] + cpd00080[c]  -> cpd15325[c] + cpd11493[c] ,( 408311 and 208730 ),
408311,DVU1208,rxn10209,anteisopentadecanoyl-glycerol-3-phosphate O-acyltransferase,cpd00080[c] + cpd11439[c]  -> cpd15675[c] + cpd00010[c] ,( 408311 and 208730 ),
408311,DVU1208,rxn10202,palmitoyl-glycerol-3-phosphate O-acyltransferase,cpd00134[c] + cpd00080[c]  -> cpd15327[c] + cpd00010[c] ,( 408311 and 208730 ),
408311,DVU1208,rxn08551,glycerol-3-phosphate acyltransferase (C180),cpd15268[c] + cpd00080[c]  -> cpd11493[c] + cpd15329[c] ,( 408311 and 208730 ),
408311,DVU1208,rxn08547,glycerol-3-phosphate acyltransferase (C140),cpd11466[c] + cpd00080[c]  -> cpd15331[c] + cpd11493[c] ,( 408311 and 208730 ),
408311,DVU1208,rxn10207,isotetradecanoyl-glycerol-3-phosphate O-acyltransferase,cpd11435[c] + cpd00080[c]  -> cpd15673[c] + cpd00010[c] ,( 408311 and 208730 ),
408311,DVU1208,rxn10208,isopentadecanoyl-glycerol-3-phosphate O-acyltransferase,cpd11437[c] + cpd00080[c]  -> cpd15674[c] + cpd00010[c] ,( 408311 and 208730 ),
