,,,,,,,,,,,,Methane as objective,,,,,,,,,,,
DvH,rxn01740,Yes,Yes,ShikimateNADP+ 5-oxidoreductase,Chorismate Synthesis,Metabolic_Overview,209045,-1000,1000,Reversible/bi-directional,Intracellular,-0.023235085,-0.017656372,-0.018752369,-0.018800483,-0.01437399,-0.025210486,-0.032774307,-0.030772679,-0.030399624,-0.02485307,-0.029505176,-0.035191126
DvH,rxn00785,Yes,Yes,D-Fructose 6-phosphateD-glyceraldehyde-3-phosphate glycolaldehyde,Calvin-Benson cycle,Metabolic_Overview,208027,-1000,1000,Reversible/bi-directional,Intracellular,0.032138586,0.024422154,0.025938129,0.02600468,0.019881989,0.034870946,0.045333163,0.042564527,0.042048521,0.034376571,0.040811328,0.048676089
DvH,rxn08548,No,No,glycerol-3-phosphate acyltransferase (C141),"""",Metabolic_Overview,( 408311 and 208730 ),0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00802,Yes,Yes,N-(L-Argininosuccinate) arginie-lyase,Arginine Biosynthesis,Metabolic_Overview,206529,-1000,1000,Reversible/bi-directional,Intracellular,0.018543433,0.014091179,0.014965872,0.01500427,0.011471579,0.02011996,0.026156486,0.024559029,0.024261302,0.019834713,0.023547462,0.028085299
DvH,rxn03638,Yes,Yes,Acetyl-CoAD-glucosamine-1-phosphate N-acetyltransferase,Peptidoglycan Biosynthesis,Metabolic_Overview,208167,0,1000,Irreversible/uni-directional,Intracellular,0.004101496,0.003116733,0.0033102,0.003318693,0.002537321,0.004450198,0.005785376,0.005432045,0.005366193,0.004387106,0.005208304,0.006211997
DvH,rxn05504,No,No,arsenobetaine transport in via ABC system,Transporters ,Metabolic_Overview,207785,0,1000,Irreversible/uni-directional,Transport,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn08546,No,No,glycerol-3-phosphate acyltransferase (C120),"""",Metabolic_Overview,( 408311 and 208730 ),0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn08127,No,No,Amylomaltase (maltotetraose),Maltose and Maltodextrin Utilization,Metabolic_Overview,208667,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05323,Yes,Yes,Tetradecanoyl-[acyl-carrier protein]malonyl-CoA,Fatty acid biosynthesis,Metabolic_Overview,206221,-1000,1000,Reversible/bi-directional,Intracellular,-0.008000883,-0.006079882,-0.006457283,-0.006473851,-0.00494961,-0.008681103,-0.011285666,-0.010596416,-0.010467956,-0.008558028,-0.010159958,-0.012117886
DvH,rxn12847,No,No,Gly-Try aminopeptidase,Dehydrogenase complexes,Metabolic_Overview,(( 209351 ) or ( 206766 ) or ( 209230 )),-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn03084,Yes,Yes,5-PhosphoribosylformylglycinamideL-glutamine amido-ligase,De Novo Purine Biosynthesis,Metabolic_Overview,( 207073 and 208702 ),0,1000,Irreversible/uni-directional,Intracellular,0.017054316,0.012959598,0.013764048,0.013799364,0.010550363,0.018504241,0.024056009,0.022586834,0.022313016,0.018241901,0.0216565,0.02582993
DvH,rxn08083,No,No,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C120),"""",Metabolic_Overview,207147,0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn10195,No,No,Teichoic acid (glucose substituted) export,Rhamnose containing glycans,Metabolic_Overview,209643,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn02507,Yes,Yes,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate,Tryptophan synthesis,Metabolic_Overview,209404,0,1000,Irreversible/uni-directional,Intracellular,0.003563248,0.002707717,0.002875795,0.002883174,0.002204343,0.003866188,0.005026148,0.004719186,0.004661976,0.003811376,0.004524806,0.005396783
DvH,rxn01675,No,No,dTTPalpha-D-glucose-1-phosphate thymidylyltransferase,Rhamnose containing glycans,Metabolic_Overview,206356,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn03901,Yes,Yes,Undecaprenyl-diphosphate phosphohydrolase,Teichoic and lipoteichoic acids biosynthesis,Metabolic_Overview,207119,0,1000,Irreversible/uni-directional,Intracellular,0.000831445,0.000631816,0.000671036,0.000672757,0.00051436,0.000902133,0.001172797,0.001101171,0.001087822,0.000889343,0.001055815,0.001259281
DvH,rxn05252,No,No,FACOAL170(ISO),"""",Metabolic_Overview,(( 208637 ) or ( 206897 ) or ( 208580 )),0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05347,Yes,Yes,Acyl-[acyl-carrier-protein]malonyl-[acyl-carrier-protein],Fatty acid biosynthesis,Metabolic_Overview,( 206643 and 206646 and 208060 ),0,1000,Irreversible/uni-directional,Intracellular,0.022308289,0.016952098,0.018004379,0.018050574,0.013800643,0.024204896,0.031467013,0.029545226,0.029187051,0.023861737,0.028328281,0.033787431
DvH,rxn00016,No,No,Hexosaminidase,"""",Metabolic_Overview,207723,0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05466,Yes,Yes,Ammonia transport via diffusion,Transporters ,Metabolic_Overview,206670,-1000,1000,Reversible/bi-directional,Transport,0.599443118,0.455517617,0.483793307,0.485034599,0.370835281,0.650406601,0.845545989,0.793905888,0.784281431,0.641185609,0.761205529,0.907897641
DvH,rxn12636,No,No,aminopeptidase,Dehydrogenase complexes,Metabolic_Overview,(( 209351 ) or ( 206766 ) or ( 209230 )),-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05398,No,No,11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,"""",Metabolic_Overview,207856,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00416,Yes,Yes,L-aspartateL-glutamine amido-ligase (AMP-forming),Cyanophycin Metabolism,Metabolic_Overview,208527,0,1000,Irreversible/uni-directional,Intracellular,0.01511434,0.011485407,0.012198349,0.012229647,0.009350229,0.016399331,0.02131957,0.020017518,0.019774847,0.016166834,0.019193012,0.022891702
DvH,rxn05338,Yes,Yes,(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]NADP+ oxidoreductase,Fatty acid biosynthesis,Metabolic_Overview,(( 208656 ) or ( 208058 ) or ( 208656 )),-1000,1000,Reversible/bi-directional,Intracellular,-0.022308289,-0.016952098,-0.018004379,-0.018050574,-0.013800643,-0.024204896,-0.031467013,-0.029545226,-0.029187051,-0.023861737,-0.028328281,-0.033787431
DvH,rxn12644,No,No,aminopeptidase,Dehydrogenase complexes,Metabolic_Overview,(( 209351 ) or ( 206766 ) or ( 209230 )),-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00669,No,No,PropanoateCoA ligase (ADP-forming),Ketoisovalerate oxidoreductase,Metabolic_Overview,(( 207735 ) or ( 208482 ) or ( 408300 ) or ( 209308 ) or ( 209528 )),-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn09112,No,No,Phosphatidylglycerol synthase (n-C161),Competence or DNA damage-inducible protein CinA and related protein families,Metabolic_Overview,207312,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05536,No,No,Dipeptide transport via ABC system (met-ala),Transporters ,Metabolic_Overview,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),0,1000,Irreversible/uni-directional,Transport,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn01513,No,No,ATPdTMP phosphotransferase,"""",Metabolic_Overview,(( 207617 ) or ( 206151 )),-1000,1000,Reversible/bi-directional,Intracellular,0.001228706,0.000933695,0.000991653,0.000994198,0.000760118,0.001333168,0.001733155,0.001627305,0.001607578,0.001314268,0.001560278,0.00186096
DvH,rxn05537,No,No,Dipeptide transport via ABC system (gly-asp),Transporters ,Metabolic_Overview,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),0,1000,Irreversible/uni-directional,Transport,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn10209,No,No,anteisopentadecanoyl-glycerol-3-phosphate O-acyltransferase,"""",Metabolic_Overview,( 408311 and 208730 ),0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00903,Yes,Yes,L-Valine2-oxoglutarate aminotransferase,Alanine biosynthesis,Metabolic_Overview,(( 208562 ) or ( 208718 )),-1000,1000,Reversible/bi-directional,Intracellular,-0.026530023,-0.0201602,-0.021411619,-0.021466556,-0.016412347,-0.028785554,-0.037421991,-0.035136514,-0.034710557,-0.028377453,-0.033689269,-0.040181537
DvH,rxn02476,Yes,Yes,Phosphoenolpyruvate3-phosphoshikimate,Chorismate Synthesis,Metabolic_Overview,(( 206270 ) or ( 209399 )),-1000,1000,Reversible/bi-directional,Intracellular,0.023235085,0.017656372,0.018752369,0.018800483,0.01437399,0.025210486,0.032774307,0.030772679,0.030399624,0.02485307,0.029505176,0.035191126
DvH,rxn06729,Yes,Yes,(R)-3-Hydroxytetradecanoly-[acyl-carrier-protein]UDP-N-acetyl-,KDO2-Lipid A biosynthesis,Metabolic_Overview,207855,0,1000,Irreversible/uni-directional,Intracellular,0.002438606,0.0018531,0.001968129,0.001973178,0.001508602,0.002645931,0.003439781,0.003229703,0.00319055,0.002608419,0.003096674,0.003693435
DvH,rxn01333,Yes,Yes,Sedoheptulose-7-phosphateD-glyceraldehyde-3-phosphate,Pentose phosphate pathway,Metabolic_Overview,(( 208222 ) or ( 207117 )),-1000,1000,Reversible/bi-directional,Intracellular,-0.008903502,-0.006765783,-0.00718576,-0.007204197,-0.005508,-0.00966046,-0.012558857,-0.011791849,-0.011648897,-0.009523501,-0.011306152,-0.013484963
DvH,rxn00947,No,No,PalmitateCoA ligase (AMP-forming),HMG CoA Synthesis,Metabolic_Overview,(( 208637 ) or ( 206897 ) or ( 208580 )),0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn01870,No,No,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,Calvin-Benson cycle,Metabolic_Overview,207620,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05333,Yes,Yes,(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase,"""",Metabolic_Overview,207856,-1000,1000,Reversible/bi-directional,Intracellular,0.012878095,0.009786081,0.01039354,0.010420207,0.007966814,0.013972965,0.018165229,0.017055822,0.016849056,0.013774866,0.016353306,0.019504756
DvH,rxn01387,No,No,IsocitrateNADP+ oxidoreductase (decarboxylating),TCA Cycle,Metabolic_Overview,209413,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn04954,No,No,5-methyltetrahydrofolateNAD+ oxidoreductase,Methionine Biosynthesis,Metabolic_Overview,206429,-1000,1000,Reversible/bi-directional,Intracellular,-0.009649293,-0.736347977,-0.007787667,-0.007807648,-0.005969371,-0.010469657,-0.013610834,-0.012779579,-0.012624653,-0.010321226,-0.012253198,-0.014614515
DvH,rxn00124,No,No,ATPpyridoxal 5-phosphotransferase,Pyridoxin (Vitamin B6) Biosynthesis,Metabolic_Overview,206196,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn01575,Yes,Yes,L-Isoleucine2-oxoglutarate aminotransferase,Alanine biosynthesis,Metabolic_Overview,(( 208562 ) or ( 208718 )),-1000,1000,Reversible/bi-directional,Intracellular,-0.018211181,-0.0138387,-0.014697721,-0.014735431,-0.011266037,-0.01975946,-0.025687827,-0.024118992,-0.023826599,-0.019479325,-0.02312555,-0.02758208
DvH,rxn08088,No,No,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C180),"""",Metabolic_Overview,207147,0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05168,No,No,L-Valine-ABC transport,Transporters ,Metabolic_Overview,(( 206137 and 206138 and 206139 and 206140 and 206141 ) or ( 209486 and 209487 and 209488 and 209489 and 209490 ) or ( 208246 and 208247 and 208248 and 208250 ) or ( 206164 ) or ( 206236 )),0,1000,Irreversible/uni-directional,Transport,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn09206,No,No,Phosphatidylserine syntase (n-C140),"""",Metabolic_Overview,208493,0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05560,No,No,D-fructose transport via PEPPyr PTS,Fructose utilization,Metabolic_Overview,( 207082 and 206257 ),-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00781,Yes,Yes,D-Glyceraldehyde-3-phosphateNAD+ oxidoreductase(phosphorylating),Calvin-Benson cycle,Metabolic_Overview,(( 207621 ) or ( 209506 )),-1000,1000,Reversible/bi-directional,Intracellular,-0.127629953,-0.09698617,-0.103006466,-0.103270755,-0.078956098,-0.138480802,-0.18002875,-0.169033839,-0.166984655,-0.136517522,-0.162071468,-0.193304302
DvH,rxn05442,No,No,11-methyl-trans-dodec-2-enoyl-ACPNAD+ oxidoreductase (A-specific),Fatty acid biosynthesis,Metabolic_Overview,206221,0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00973,No,No,citrate hydro-lyase,Glyoxylate bypass,Metabolic_Overview,206498,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00838,Yes,Yes,IMPL-aspartate ligase (GDP-forming),Histidine Biosynthesis,Metabolic_Overview,208725,0,1000,Irreversible/uni-directional,Intracellular,0.007374745,0.005604078,0.005951944,0.005967216,0.00456226,0.008001731,0.010402465,0.009767154,0.009648748,0.007888288,0.009364853,0.011169556
DvH,rxn00642,No,No,"GDPmannose 4,6-hydro-lyase",Colanic acid biosynthesis,Metabolic_Overview,209384,0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00065,No,No,ATP pyrophosphate-lyase (cyclizing),"""",Metabolic_Overview,(( 209205 ) or ( 207011 ) or ( 207051 ) or ( 209735 )),0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05544,No,No,Dipeptide transport via ABC system (ala-leu),Transporters ,Metabolic_Overview,(( 207874 ) or ( 207955 and 207956 ) or ( 209098 and 209099 ) or ( 208073 ) or ( 207558 )),0,1000,Irreversible/uni-directional,Transport,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00141,No,No,S-Adenosyl-L-homocysteine hydrolase,Methionine Biosynthesis,Metabolic_Overview,209551,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05181,No,No,Betaine-ABC transport,Transporters ,Metabolic_Overview,( 207784 and 207785 and 207786 ),0,1000,Irreversible/uni-directional,Transport,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05330,Yes,Yes,(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase,"""",Metabolic_Overview,207856,-1000,1000,Reversible/bi-directional,Intracellular,0.022308289,0.016952098,0.018004379,0.018050574,0.013800643,0.024204896,0.031467013,0.029545226,0.029187051,0.023861737,0.028328281,0.033787431
DvH,rxn03910,Yes,Yes,2-Phospho-4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol,"""",Metabolic_Overview,206898,-1000,1000,Reversible/bi-directional,Intracellular,3.79E-05,2.88E-05,3.06E-05,3.07E-05,2.35E-05,4.12E-05,5.35E-05,5.02E-05,4.96E-05,4.06E-05,4.82E-05,5.74E-05
DvH,rxn00364,Yes,Yes,ATPCMP phosphotransferase,"""",Metabolic_Overview,206462,-1000,1000,Reversible/bi-directional,Intracellular,0.011192071,0.00850487,0.009032799,0.009055975,0.006923785,0.0121436,0.015787004,0.014822843,0.014643147,0.011971436,0.014212302,0.016951158
DvH,rxn00775,No,No,ADPribose ribophosphohydrolase,"""",Metabolic_Overview,207729,0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00303,No,No,ATPGTP 3-pyrophosphotransferase,"""",Metabolic_Overview,207557,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05616,No,No,magnesium transport in/out via permease (no H+),Putative hemin transporter,Metabolic_Overview,(( 209717 ) or ( 207271 )),-1000,1000,Reversible/bi-directional,Intracellular,-0.00049493,-0.000376098,-0.000399444,0,-0.00030618,0,0,-0.000655489,-0.000647542,-0.000529395,-0.00062849,-0.000749606
DvH,rxn00515,No,No,ATPnucleoside-diphosphate phosphatransferase,pyrimidine conversions v2,Metabolic_Overview,207820,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn01434,Yes,Yes,L-CitrullineL-aspartate ligase (AMP-forming),Arginine Biosynthesis,Metabolic_Overview,206530,-1000,1000,Reversible/bi-directional,Intracellular,0.018543433,0.014091179,0.014965872,0.01500427,0.011471579,0.02011996,0.026156486,0.024559029,0.024261302,0.019834713,0.023547462,0.028085299
DvH,rxn10234,No,No,isotetradecanoyl-phosphatidylserine decarboxylase,Glycerolipid and Glycerophospholipid Metabolism in Bacteria,Metabolic_Overview,208492,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn02011,Yes,Yes,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamatemeso-2,6-",Peptidoglycan Biosynthesis,Metabolic_Overview,208006,0,1000,Irreversible/uni-directional,Intracellular,0.000831445,0.000631816,0.000671036,0.000672757,0.00051436,0.000902133,0.001172797,0.001101171,0.001087822,0.000889343,0.001055815,0.001259281
DvH,rxn00693,Yes,Yes,5-MethyltetrahydrofolateL-homocysteine S-methyltransferase,Methionine Biosynthesis,Metabolic_Overview,207036,-1000,1000,Reversible/bi-directional,Intracellular,0.009649293,0.00733251,0.007787667,0.007807648,0.005969371,0.010469657,0.013610834,0.012779579,0.012624653,0.010321226,0.012253198,0.014614515
DvH,rxn00702,No,No,CTPD-glucose-1-phosphate cytidylyltransferase,"Acetoin, butanediol metabolism",Metabolic_Overview,209000,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00122,No,No,ATPFMN adenylyltransferase,"""",Metabolic_Overview,209386,0,1000,Irreversible/uni-directional,Intracellular,1.40E-05,1.06E-05,1.13E-05,1.13E-05,8.65E-06,1.52E-05,1.97E-05,1.85E-05,1.83E-05,1.50E-05,1.78E-05,2.12E-05
DvH,rxn01314,No,No,"NADPH6,7-dihydropteridine oxidoreductase",Pterin biosynthesis,Metabolic_Overview,208655,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn02186,No,No,"2,3-Dihydroxy-3-methylbutanoateNADP+ oxidoreductase (isomerizing)",Branched-Chain Amino Acid Biosynthesis,Metabolic_Overview,206820,-1000,1000,Reversible/bi-directional,Intracellular,0.054771459,0.041620904,0.04420447,0.044317887,0.033883431,0.059428021,0.077258018,0.072539633,0.071660241,0.058585494,0.069551782,0.082955124
DvH,rxn10202,Yes,Yes,palmitoyl-glycerol-3-phosphate O-acyltransferase,"""",Metabolic_Overview,( 408311 and 208730 ),0,1000,Irreversible/uni-directional,Intracellular,0.004000442,0.003039941,0.003228641,0.003236925,0.002474805,0.004340551,0.005642833,0.005298208,0.005233978,0.004279014,0.005079979,0.006058943
DvH,rxn08527,Yes,Yes,fumarate reductase,TCA Cycle,Metabolic_Overview,(( 208173 and 208628 ) or ( 208173 and 208628 and 208786 and 208787 ) or ( 208786 and 208787 ) or ( 208628 )),-1000,1000,Reversible/bi-directional,Intracellular,0.066234974,0.050332044,0.053456343,0.053593499,0.040975139,0.071866142,0.093427908,0.087721978,0.086658531,0.070847276,0.084108778,0.100317403
DvH,rxn01116,Yes,Yes,D-Ribulose-5-phosphate 3-epimerase,Calvin-Benson cycle,Metabolic_Overview,208028,-1000,1000,Reversible/bi-directional,Intracellular,-0.041042088,-0.031187937,-0.033123889,-0.033208877,-0.025389989,-0.044531406,-0.05789202,-0.054356376,-0.053697418,-0.043900072,-0.052117479,-0.062161052
DvH,rxn00337,Yes,Yes,ATPL-aspartate 4-phosphotransferase,Lysine Biosynthesis DAP Pathway,Metabolic_Overview,207382,-1000,1000,Reversible/bi-directional,Intracellular,0.105312658,0.445670147,0.473334567,0.474549025,0.36281849,0.636345982,0.148549033,0.776743074,0.76732668,0.627324332,0.744749637,0.88827053
DvH,rxn02212,Yes,Yes,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase,Chorismate Synthesis,Metabolic_Overview,209397,0,1000,Irreversible/uni-directional,Intracellular,0.023235085,0.017656372,0.018752369,0.018800483,0.01437399,0.025210486,0.032774307,0.030772679,0.030399624,0.02485307,0.029505176,0.035191126
DvH,rxn03908,Yes,Yes,ATP 4-(Cytidine 5-diphospho)-2-C-methyl-D-erythritol,"""",Metabolic_Overview,207026,-1000,1000,Reversible/bi-directional,Intracellular,3.79E-05,2.88E-05,3.06E-05,3.07E-05,2.35E-05,4.12E-05,5.35E-05,5.02E-05,4.96E-05,4.06E-05,4.82E-05,5.74E-05
DvH,rxn03419,No,No,"Formamidopyrimidine nucleoside triphosphate 7,8-8,9-dihydrolase","""",Metabolic_Overview,208401,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05436,No,No,10-methyl-trans-dodec-2-enoyl-ACPNAD+ oxidoreductase (A-specific),Fatty acid biosynthesis,Metabolic_Overview,206221,0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05408,No,No,2-methylpropionyl-CoA[acyl-carrier-protein] transferase,Fatty acid biosynthesis,Metabolic_Overview,206688,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn10227,No,No,anteisoheptadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase,"""",Metabolic_Overview,208493,0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn09113,No,No,Phosphatidylglycerol synthase (n-C180),Competence or DNA damage-inducible protein CinA and related protein families,Metabolic_Overview,207312,-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn02160,Yes,Yes,L-Histidinol-phosphate phosphohydrolase,Histidine Biosynthesis,Metabolic_Overview,207987,0,1000,Irreversible/uni-directional,Intracellular,0.005939164,0.004513179,0.004793329,0.004805627,0.003674163,0.006444101,0.008377503,0.007865863,0.007770506,0.006352741,0.007541875,0.008995271
DvH,rxn08551,No,No,glycerol-3-phosphate acyltransferase (C180),"""",Metabolic_Overview,( 408311 and 208730 ),0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00777,Yes,Yes,D-Ribose-5-phosphate ketol-isomerase,Calvin-Benson cycle,Metabolic_Overview,207031,-1000,1000,Reversible/bi-directional,Intracellular,-0.038533584,-0.029281721,-0.031099348,-0.031179141,-0.023838146,-0.041809634,-0.054353643,-0.051034099,-0.050415417,-0.041216888,-0.048932044,-0.058361751
DvH,rxn00409,No,No,ATPnucleoside-diphosphate phosphatransferase,pyrimidine conversions v2,Metabolic_Overview,207820,-1000,1000,Reversible/bi-directional,Intracellular,0.011192071,0.00850487,0.009032799,0.009055975,0.006923785,0.009858168,0.015787004,0.014822843,0.014643147,0.011971436,0.014212302,0.016951158
DvH,rxn05602,Yes,Yes,L-lactate reversible transport via proton symport,Lactate utilization,Metabolic_Overview,(( 207771 ) or ( 208183 ) or ( 208810 ) or ( 207586 ) or ( 207944 )),-1000,1000,Reversible/bi-directional,Intracellular,18.33684927,23.07352139,26.02906634,26.12137575,23.62215609,24.31735639,24.17388511,25.9598664,29.21372124,27.15272412,28.63438334,27.39816325
DvH,rxn06526,No,No,NADPHprotein-disulfide oxidoreductase,Transporters ,Metabolic_Overview,206433,-1000,1000,Reversible/bi-directional,Transport,0,0,0,0,0,0,0,0,0,0,0,0
